u(cm),v(cm)
0.0,0.0
-0.9625789132436569,0.10038277043926594
-0.5637790694643998,0.7218584056171451
0.1268736833759837,1.204185265748841
-0.42639470813059344,1.4250217423796263
-1.644155877663077,1.0770442646860348
-2.0217042035148904,1.1747827267302149
-1.8511993812770289,1.2066807098477055
-1.739703181498917,0.8440258422147136
-2.2546598128377333,0.9763798625616009
-3.118189708379923,1.042123417319812
-3.6522717081288683,1.0244700236901472
-3.579372710851212,0.9125049622852355
-3.7798223240212327,1.2806596240315924
-4.443881113456668,0.9108544652986255
-4.849487174591071,0.7295424903359602
-4.856376735582042,0.5140743212311443
-4.903952619120766,0.09501326968480228
-5.335262178139371,0.23425592317685198
-6.233828694728067,0.7503778637777917
-7.7001170440930355,0.8004849123767247
-9.004729290512424,0.8217200620836301
-9.72160580166949,0.18411652133832035
-9.849016939431579,-0.2274517574866749
-8.972505291252293,-0.14835921290742718
-8.015584032471866,0.3463949256177249
-7.312506379664941,0.08221478383770742
-7.452575201462129,-0.062001079901581074
-8.859330526548206,0.3242939077650936
-10.337064401262039,0.5709894130142383
-11.550145995772212,0.6517673757768574
-11.967894412177309,-0.0014059276738543902
-11.677476946363258,0.4221309869736178
-12.463202236574176,1.0140191406663253
-13.190054217769205,1.0540868219219177
-13.381300994120043,1.028363971092285
-13.914265601555153,1.9931637214029079
-13.153251452585526,1.0432759302649348
-12.28551347727025,0.1214649434903845
